Year,Purchase,Donation,Instead_of_Private_Service,Instead_of_Public_Service,Secondhand_Sale,Home_Production,Non_Agricultural_Work,Instead_of_Cooperative_Service,Agricultural_Work,Purchase_Subsidised_Price,Purchase_Free_Price,
1363,,0.4,0.01,2.02,,2.19,0.09,,0.58,56.74,36.0,1.97
1364,,0.41,0.01,2.15,,2.6,0.12,,1.31,44.66,46.53,2.21
1365,,0.21,0.03,2.36,,2.65,0.11,,2.39,31.6,57.47,3.18
1366,,0.21,0.02,0.05,,2.18,0.06,,1.27,41.73,52.3,2.17
1367,,0.96,0.01,0.01,,1.86,0.08,,1.07,39.1,54.96,1.95
1368,,0.18,0.01,0.02,,2.35,0.07,,0.85,34.09,60.28,2.15
1369,93.02,0.39,0.0,0.02,,1.93,0.1,,0.76,,,3.79
1370,95.86,0.33,0.01,0.02,,1.71,0.08,,0.57,,,1.42
1371,95.44,0.25,0.01,0.02,,1.99,0.08,,0.54,,,1.67
1372,96.27,0.18,0.01,0.01,,1.73,0.07,,0.34,,,1.39
1373,95.84,0.34,0.01,0.04,,1.55,0.07,,0.39,,,1.76
1374,97.5,0.44,0.03,0.04,,0.45,0.1,,0.24,,,1.2
1375,97.5,0.35,0.02,0.06,,0.43,0.13,,0.19,,,1.31
1376,97.37,0.38,0.03,0.04,,0.41,0.1,,0.27,,,1.41
1377,96.79,0.4,0.04,0.07,,0.37,0.1,,0.16,,,2.05
1378,96.22,0.46,0.62,0.56,,0.39,0.08,,0.15,,,1.53
1379,94.33,0.45,1.19,2.07,,0.39,0.06,0.0,0.17,,,1.35
1380,90.0,0.45,0.78,2.21,,0.47,0.07,0.0,0.17,,,5.85
1381,95.24,0.46,0.79,1.98,,0.39,0.07,0.02,0.15,,,0.89
1382,95.31,0.42,0.91,1.85,,0.51,0.06,0.02,0.12,,,0.81
1383,96.06,0.5,0.68,1.39,,0.42,0.07,0.04,0.08,,,0.75
1384,94.17,0.76,1.34,2.42,,0.39,0.07,0.04,0.06,,,0.75
1385,92.38,3.2,1.36,2.14,,0.16,0.08,0.04,0.03,,,0.61
1386,92.15,3.18,1.5,2.43,,0.03,0.05,0.04,0.02,,,0.6
1387,90.6,4.72,1.55,2.44,,0.01,0.05,0.06,0.01,,,0.56
1388,91.11,4.45,1.58,2.19,,0.01,0.03,0.04,0.0,,,0.58
1389,90.69,4.92,1.75,2.02,,0.0,0.03,0.02,0.01,,,0.55
1390,90.8,5.23,1.63,1.88,,0.01,0.03,0.02,0.0,,,0.39
1391,90.51,5.53,1.6,1.86,,0.01,0.02,0.02,0.02,,,0.43
1392,90.27,5.77,1.71,1.85,,0.01,0.02,0.02,0.0,,,0.35
1393,90.29,5.79,1.75,1.78,,0.01,0.02,0.02,0.01,,,0.35
1394,89.64,6.4,1.85,1.76,,0.0,0.02,0.02,0.01,,,0.3
1395,89.32,7.03,1.67,1.63,,0.01,0.01,0.01,0.01,,,0.3
1396,89.41,7.11,1.63,1.48,,0.01,0.02,0.01,0.0,,,0.34
1397,89.47,6.72,1.85,1.53,,0.0,0.02,0.01,0.0,,,0.4
1398,88.96,7.09,1.95,1.56,,0.06,0.02,0.01,0.01,,,0.35
1399,88.4,7.44,2.15,1.55,,0.09,0.02,0.01,0.02,,,0.32
1400,88.43,7.43,2.17,1.6,,0.08,0.02,0.01,0.01,,,0.25
1401,88.31,7.45,2.27,1.66,0.24,0.04,0.02,0.01,0.01,,,
