,Year,Value,Replace_Value,Frequency
0,1369,X01,None,20.0
1,1369,X02,None,45.0
2,1369,X03,None,326.0
3,1369,X04,None,70.0
4,1370,X01,None,9.0
5,1370,X02,None,7.0
6,1370,X03,None,375.0
7,1370,X04,None,85.0
8,1371,X01,None,16.0
9,1371,X02,None,3.0
10,1371,X03,None,318.0
11,1371,X04,None,124.0
12,1372,X01,None,13.0
13,1372,X02,None,2.0
14,1372,X03,None,237.0
15,1372,X04,None,79.0
16,1373,X01,None,12.0
17,1373,X03,None,433.0
18,1373,X04,None,187.0
19,1374,x01,None,38.0
20,1374,x02,None,7.0
21,1374,x03,None,689.0
22,1374,x04,None,444.0
23,1388,x000,0,1.0
24,1392,x000,0,2.0
25,1396,x000,0,1.0
