Year,Purchase,Non_Agricultural_Work,Donation,Instead_of_Private_Service,Instead_of_Public_Service,Agricultural_Work,Home_Production,Purchase_Free_Price,Purchase_Subsidised_Price,,Instead_of_Cooperative_Service
1363,,1.47,0.46,0.0,0.06,0.06,0.0,78.74,19.2,,
1364,,1.41,0.27,0.01,0.02,0.0,0.01,82.1,16.18,,
1365,,0.76,0.16,0.02,0.03,0.03,,72.54,26.46,,
1366,,0.58,0.52,,0.1,,,68.25,30.55,,
1367,,0.48,0.33,0.02,0.21,,,75.07,23.89,,
1368,,0.83,0.15,0.03,0.05,,0.02,77.85,21.07,,
1369,98.24,1.15,0.24,0.01,0.07,0.01,0.01,,,0.27,
1370,98.55,1.14,0.12,0.03,0.07,0.02,0.02,,,0.06,
1371,98.53,1.24,0.13,0.01,0.01,0.01,0.01,,,0.06,
1372,98.74,0.98,0.16,,0.02,,0.02,,,0.07,
1373,98.37,1.26,0.2,0.02,0.05,0.01,0.05,,,0.05,
1374,98.5,1.19,0.17,0.02,0.06,0.02,0.03,,,0.0,
1375,98.54,1.2,0.15,0.02,0.06,,0.03,,,,
1376,98.66,1.05,0.12,0.02,0.09,0.04,0.02,,,,
1377,98.33,1.26,0.25,0.05,0.1,0.01,0.01,,,,
1378,98.18,1.21,0.44,0.02,0.12,0.01,0.01,,,,
1379,98.51,1.1,0.28,0.02,0.07,0.01,0.01,,,,
1380,98.62,1.02,0.25,0.01,0.07,,0.02,,,,0.01
1381,98.6,1.1,0.21,0.01,0.06,0.0,0.01,,,,0.0
1382,98.8,0.89,0.19,0.02,0.07,0.02,0.02,,,,
1383,98.93,0.76,0.17,0.03,0.09,0.02,0.01,,,,0.0
1384,98.82,0.81,0.17,0.04,0.15,0.01,0.01,,,,0.0
1385,98.67,1.04,0.16,0.02,0.1,0.01,0.0,,,,0.0
1386,98.92,0.85,0.13,0.01,0.08,0.01,,,,,0.0
1387,99.25,0.59,0.1,0.01,0.05,0.0,,,,,0.01
1388,99.42,0.41,0.09,0.02,0.05,0.01,,,,,
1389,99.45,0.38,0.09,0.04,0.04,,,,,,
1390,99.44,0.39,0.07,0.0,0.09,,0.01,,,,
1391,99.53,0.29,0.11,0.01,0.06,,0.01,,,,
1392,99.63,0.27,0.06,0.01,0.02,,0.01,,,,
1393,99.61,0.29,0.06,0.01,0.03,,,,,,
1394,99.68,0.27,0.03,0.0,0.02,0.0,,,,,
1395,99.41,0.35,0.14,0.05,0.04,0.0,,,,,
1396,99.31,0.49,0.15,0.0,0.04,,0.0,,,,
1397,99.52,0.22,0.18,0.04,0.03,0.0,,,,,0.0
1398,99.39,0.36,0.2,0.03,0.02,0.0,,,,,
1399,99.48,0.39,0.08,0.05,,0.01,,,,,
1400,99.54,0.33,0.07,0.05,,0.0,,,,,
1401,99.46,0.33,0.16,0.03,0.01,0.01,0.0,,,,
