Year,Purchase,Home_Production,Non_Agricultural_Work,Donation,Agricultural_Work,Instead_of_Private_Service,Instead_of_Public_Service,Instead_of_Cooperative_Service,Purchase_Free_Price,Purchase_Subsidised_Price,
1363,,1.67,0.86,1.23,5.46,0.14,0.13,,49.29,41.23,
1364,,1.57,0.88,1.37,5.61,0.12,0.14,,55.55,34.76,
1365,,1.79,0.93,1.38,6.8,0.16,0.24,,51.35,37.35,0.0
1366,,1.74,0.82,1.08,6.01,0.12,0.21,,56.12,33.88,0.03
1367,,1.69,0.85,1.0,5.66,0.17,0.23,,59.37,31.02,
1368,,1.88,0.84,0.95,6.43,0.11,0.17,,61.48,28.15,
1369,93.51,2.48,1.06,0.18,2.56,0.06,0.16,,,,0.0
1370,93.74,2.36,1.21,0.13,2.25,0.06,0.18,,,,0.07
1371,93.84,2.36,1.16,0.13,2.24,0.07,0.12,,,,0.08
1372,94.3,2.28,1.07,0.07,1.96,0.1,0.15,,,,0.07
1373,95.38,1.7,1.4,0.09,1.11,0.08,0.18,,,,0.07
1374,95.21,1.91,1.18,0.12,1.24,0.1,0.23,,,,0.01
1375,95.29,1.75,1.23,0.13,1.12,0.16,0.32,,,,
1376,95.32,1.68,1.32,0.14,1.04,0.17,0.34,,,,
1377,95.23,1.7,1.34,0.14,1.06,0.17,0.37,,,,
1378,95.05,1.7,1.38,0.13,1.16,0.18,0.4,,,,
1379,95.2,1.67,1.36,0.15,1.12,0.18,0.33,0.0,,,
1380,95.06,1.84,1.41,0.2,1.01,0.2,0.26,0.02,,,
1381,95.11,1.85,1.43,0.35,0.88,0.16,0.2,0.01,,,
1382,95.32,1.61,1.38,0.42,0.81,0.21,0.24,0.0,,,
1383,95.14,1.8,1.41,0.53,0.89,0.11,0.11,0.01,,,
1384,94.88,2.03,1.42,0.56,0.88,0.11,0.12,0.01,,,
1385,95.24,1.67,1.63,0.57,0.71,0.08,0.09,0.01,,,
1386,95.31,1.54,1.56,0.78,0.61,0.07,0.12,0.0,,,
1387,95.9,1.58,1.25,0.55,0.55,0.06,0.1,0.01,,,
1388,95.85,1.61,1.23,0.72,0.49,0.07,0.04,0.0,,,
1389,96.39,1.5,1.2,0.43,0.4,0.07,0.02,0.0,,,
1390,97.08,1.32,1.09,0.07,0.35,0.06,0.02,0.0,,,
1391,96.99,1.4,1.07,0.07,0.4,0.06,0.02,0.0,,,
1392,96.52,1.41,0.88,0.76,0.36,0.06,0.01,0.0,,,
1393,97.13,1.34,0.91,0.21,0.33,0.07,0.01,0.0,,,0.0
1394,97.24,1.18,0.97,0.16,0.34,0.09,0.02,0.0,,,
1395,97.33,1.08,1.03,0.15,0.31,0.08,0.01,0.0,,,
1396,97.26,1.12,1.04,0.16,0.31,0.09,0.01,0.0,,,
1397,97.31,1.06,0.9,0.33,0.28,0.1,0.01,0.0,,,
1398,97.32,1.14,0.94,0.2,0.3,0.09,0.01,0.0,,,
1399,97.52,1.04,0.74,0.33,0.26,0.11,0.0,0.0,,,
1400,97.7,0.95,0.74,0.26,0.24,0.1,0.01,0.0,,,
1401,97.78,0.93,0.75,0.2,0.23,0.1,0.0,0.0,,,
1402,97.42,0.89,0.82,0.53,0.23,0.1,0.0,0.0,,,
