Year,Purchase,Non_Agricultural_Work,Donation,Instead_of_Private_Service,Instead_of_Public_Service,Home_Production,Purchase_Free_Price,Purchase_Subsidised_Price,Agricultural_Work,,Instead_of_Cooperative_Service
1363,,0.95,0.1,0.01,0.03,0.3,53.18,45.41,0.02,,
1364,,1.26,0.07,0.02,0.02,0.3,68.61,29.69,0.03,,
1365,,1.11,0.04,0.05,0.01,0.34,68.17,30.18,0.07,0.05,
1366,,0.73,0.03,0.01,0.12,0.24,64.75,34.08,0.0,0.04,
1367,,0.85,0.06,0.05,0.27,0.29,61.29,37.16,0.01,0.01,
1368,,0.85,0.03,0.03,0.21,0.2,63.34,35.25,0.05,0.03,
1369,98.44,1.07,0.08,0.01,0.16,0.09,,,0.03,0.12,
1370,98.22,1.37,0.03,0.03,0.07,0.18,,,0.05,0.06,
1371,98.09,1.57,0.03,0.01,0.02,0.2,,,0.04,0.03,
1372,98.15,1.51,0.03,0.01,0.03,0.17,,,0.03,0.06,
1373,97.72,1.93,0.04,0.02,0.02,0.19,,,0.03,0.05,
1374,98.06,1.66,0.03,0.03,0.07,0.1,,,0.04,0.0,
1375,98.01,1.76,0.03,0.04,0.05,0.08,,,0.02,0.0,
1376,97.9,1.83,0.05,0.04,0.04,0.09,,,0.06,,
1377,97.94,1.86,0.04,0.02,0.04,0.07,,,0.02,,
1378,97.82,1.98,0.04,0.03,0.04,0.07,,,0.02,,
1379,97.84,1.98,0.02,0.02,0.02,0.08,,,0.03,,0.0
1380,97.85,1.95,0.03,0.04,0.02,0.09,,,0.01,,0.01
1381,97.92,1.86,0.06,0.02,0.05,0.07,,,0.03,,0.0
1382,98.01,1.75,0.04,0.03,0.05,0.09,,,0.03,,0.0
1383,97.9,1.72,0.1,0.04,0.09,0.07,,,0.07,,0.0
1384,97.72,1.78,0.09,0.06,0.23,0.09,,,0.03,,0.01
1385,97.54,2.13,0.09,0.03,0.15,0.04,,,0.02,,0.01
1386,97.54,1.98,0.3,0.02,0.1,0.05,,,0.0,,0.0
1387,98.17,1.6,0.09,0.03,0.05,0.05,,,0.01,,0.01
1388,97.84,1.68,0.36,0.02,0.04,0.04,,,0.01,,0.0
1389,98.07,1.67,0.17,0.04,0.02,0.04,,,0.0,,
1390,98.36,1.51,0.04,0.03,0.02,0.03,,,0.01,,
1391,98.47,1.41,0.04,0.03,0.01,0.03,,,0.01,,
1392,98.83,1.11,0.02,0.02,0.0,0.01,,,0.0,,
1393,98.7,1.18,0.07,0.04,0.0,0.01,,,0.0,,0.0
1394,98.65,1.22,0.07,0.05,0.01,0.0,,,0.0,,0.0
1395,98.54,1.33,0.08,0.04,0.01,0.01,,,0.0,,0.0
1396,98.54,1.32,0.08,0.07,0.0,0.0,,,0.0,,
1397,98.53,1.16,0.25,0.04,0.0,0.0,,,0.01,,0.0
1398,98.63,1.25,0.08,0.02,0.01,0.0,,,,,0.0
1399,98.93,0.94,0.08,0.05,0.0,0.01,,,0.0,,0.0
1400,99.0,0.92,0.02,0.03,0.02,0.0,,,,,
1401,98.93,1.02,0.02,0.02,,0.0,,,,,0.0
1402,98.56,1.08,0.32,0.04,0.01,0.0,,,,,
