Year,Piped_Gas,Liquid_Gas,Electricity,Karosine,Gasoline,Wood_and_Charcoal,None,Gas,Animal_Fuel,Other_Fuel,
1369,,,0.08,23.31,0.37,6.93,,68.21,1.1,,
1370,,,0.04,20.31,0.34,6.33,,72.1,0.86,0.02,
1371,,,0.03,16.99,0.27,5.34,,76.45,0.92,,
1372,,,0.02,11.86,0.3,4.71,,82.92,0.2,0.01,
1373,,,0.04,9.33,0.38,2.66,,87.38,0.19,0.02,
1374,,,0.04,9.75,0.11,3.97,,85.83,0.28,0.02,0.01
1375,,,0.02,8.94,0.09,3.48,,87.04,0.42,0.01,
1376,,,0.01,6.78,0.07,3.03,,89.78,0.32,0.0,
1377,,,0.05,7.61,0.09,2.93,,89.21,0.09,0.02,
1378,,,,7.26,0.05,3.22,,89.15,0.22,0.1,
1379,,,0.07,6.34,0.09,2.78,,90.48,0.23,0.0,
1380,,,0.08,3.85,0.05,2.8,,93.05,0.17,0.01,
1381,,,0.03,3.27,0.07,1.93,,94.6,0.1,0.01,
1382,,,0.06,2.62,0.04,1.56,,95.56,0.14,0.01,
1383,,,0.03,2.27,0.02,1.62,,95.98,0.05,0.03,0.0
1384,,,0.04,2.31,0.02,1.12,,96.35,0.02,0.15,
1385,,,0.28,1.12,0.05,1.07,,97.46,0.01,0.01,
1386,49.03,48.91,0.01,1.17,0.02,0.81,0.04,,0.01,,
1387,51.87,46.47,0.01,0.94,0.03,0.64,0.04,,0.0,,
1388,54.36,44.0,0.03,0.66,0.02,0.44,0.02,,,,0.48
1389,58.28,39.03,0.03,0.57,0.02,0.34,0.01,,0.0,0.0,1.71
1390,63.22,35.96,0.02,0.4,0.07,0.31,0.02,,,,
1391,65.8,33.52,0.02,0.39,0.03,0.21,0.01,,0.02,,
1392,67.13,32.27,0.03,0.35,0.03,0.13,0.02,,0.0,,0.04
1393,67.17,28.38,0.01,0.32,0.02,0.11,0.02,,,0.0,3.97
1394,69.57,25.89,0.02,0.36,0.04,0.09,0.02,,,,4.03
1395,71.62,23.56,0.01,0.31,0.03,0.13,0.03,,0.0,,4.31
1396,77.64,22.11,0.01,0.1,0.03,0.08,0.03,,,,
1397,79.62,20.18,0.02,0.09,0.02,0.05,0.03,,,,
1398,82.19,17.69,0.01,0.04,0.02,0.03,0.02,,,0.0,
1399,84.34,15.55,0.01,0.04,0.02,0.04,0.0,,,,
1400,79.91,12.73,0.04,0.02,0.01,0.01,,,,,7.27
1401,87.37,12.49,0.04,0.04,0.03,0.02,0.0,,,,
