Year,Piped_Gas,Electricity,Liquid_Gas,Karosine,None,Wood_and_Charcoal,Gasoline,Other_Fuel,Animal_Fuel,,Coal
1386,48.55,7.29,15.4,21.48,3.58,2.79,0.68,0.02,0.2,,
1387,51.51,7.49,14.99,19.77,2.88,2.56,0.7,0.02,0.09,,
1388,53.97,8.26,15.52,17.3,1.87,2.07,0.45,0.02,0.06,0.48,0.0
1389,57.94,8.61,14.85,13.58,1.23,1.61,0.42,0.01,0.05,1.71,
1390,62.82,8.44,13.88,11.77,1.05,1.69,0.31,0.01,0.03,,
1391,65.38,8.09,13.04,10.64,0.78,1.67,0.33,0.01,0.06,,
1392,66.72,7.7,13.52,9.79,0.83,1.01,0.31,0.02,0.06,0.04,
1393,66.71,7.86,11.88,7.49,1.08,0.71,0.21,0.03,0.07,3.97,
1394,69.04,8.28,10.99,5.75,1.0,0.67,0.14,0.05,0.05,4.03,
1395,71.13,8.64,9.72,4.62,0.75,0.64,0.13,0.02,0.04,4.31,
1396,77.02,9.09,8.6,3.54,1.02,0.53,0.09,0.04,0.07,,
1397,78.99,9.15,7.44,2.65,1.04,0.6,0.06,0.04,0.03,,
1398,81.51,8.99,6.33,1.65,1.1,0.34,0.03,0.03,0.01,,
1399,83.74,8.46,4.77,1.66,1.05,0.25,0.03,0.03,0.01,,
1400,79.42,7.61,3.3,1.44,0.76,0.16,0.02,0.02,0.0,7.27,
1401,87.06,7.79,3.07,1.18,0.66,0.18,0.03,0.02,0.0,,
