Year,Missing,True,False
1369,0.0,68.85,31.15
1370,0.0,70.89,29.11
1371,0.0,72.71,27.29
1372,0.0,77.16,22.84
1373,0.0,79.07,20.93
1374,0.0,73.67,26.33
1375,0.0,70.82,29.18
1376,0.0,69.66,30.34
1377,0.0,67.36,32.64
1378,0.0,65.43,34.57
1379,0.0,64.16,35.84
1380,0.0,64.99,35.01
1381,0.0,66.47,33.53
1382,0.0,67.48,32.52
1383,36.41,63.59,0.0
1384,80.25,19.75,0.0
1385,0.0,14.48,85.52
1386,88.27,11.73,0.0
1387,90.35,9.65,0.0
1388,92.86,7.14,0.0
1389,93.78,6.22,0.0
1390,93.47,6.53,0.0
1391,94.47,5.53,0.0
1392,95.24,4.76,0.0
1393,95.65,4.35,0.0
1394,95.09,4.91,0.0
1395,95.64,4.36,0.0
1396,95.74,4.26,0.0
1397,95.15,4.85,0.0
1398,95.99,4.01,0.0
1399,96.13,3.87,0.0
1400,96.22,3.78,0.0
1401,95.78,4.22,0.0
1402,96.36,3.64,0.0
