Year,Purchase,Secondhand_Sale,Donation,Non_Agricultural_Work,Purchase_Free_Price,,Purchase_Subsidised_Price,Home_Production,Agricultural_Work,Instead_of_Public_Service,Instead_of_Private_Service,Instead_of_Cooperative_Service
1367,,,0.09,0.14,46.0,39.96,12.81,0.86,0.14,,,
1368,,,0.05,0.29,42.35,44.61,11.42,1.09,0.16,0.03,,
1369,91.67,,0.33,0.23,,3.97,,1.95,1.84,0.02,,
1370,91.68,,0.11,0.11,,4.5,,1.25,2.33,,0.01,
1371,92.66,,0.13,0.25,,3.82,,1.33,1.73,0.04,0.03,
1372,96.16,,0.14,,,2.61,,0.68,0.4,0.02,,
1373,96.28,,0.11,0.06,,2.56,,0.4,0.56,0.01,0.01,
1374,96.06,,0.17,0.14,,2.69,,0.42,0.43,0.05,0.03,
1378,94.78,,0.25,0.09,,4.57,,0.2,0.05,0.05,0.01,
1379,93.98,,0.36,0.05,,5.36,,0.21,0.03,,,
1380,93.82,,0.22,0.02,,5.61,,0.26,0.06,,,
1381,94.26,,0.22,0.09,,4.84,,0.52,0.06,,,
1382,94.1,,0.16,0.02,,4.87,,0.57,0.28,,,
1383,94.32,,0.33,0.12,,4.72,,0.33,0.1,0.04,0.01,0.03
1384,94.92,,0.16,0.05,,4.64,,0.1,0.1,,0.03,
1385,95.64,,0.41,0.1,,3.7,,0.03,0.07,0.02,0.03,0.01
1386,94.74,,1.18,0.03,,3.95,,0.06,0.02,0.03,,
1387,82.61,,13.97,,,3.22,,0.02,,0.17,,0.01
1388,66.52,,30.65,0.02,,1.26,,,0.0,1.45,0.09,0.01
1389,70.56,,27.57,0.01,,1.34,,,,0.48,0.03,
1390,78.62,,19.15,0.02,,1.8,,,,0.36,0.05,
1391,85.89,,11.61,0.05,,2.29,,,,0.13,0.02,
1392,87.73,,10.45,,,1.82,,,,,,
1393,83.66,,13.79,,,2.54,,,,,0.01,
1394,83.1,,14.16,,,2.7,,,,0.01,,0.01
1395,83.41,,13.67,,,2.92,,,,,,
1396,82.06,,15.08,0.01,,2.82,,,,0.01,0.01,
1397,83.3,,13.84,0.04,,2.8,,,0.02,,,
1398,81.86,,15.04,0.05,,3.01,,,,0.01,0.01,
1399,77.33,,17.82,,,4.86,,,,,,
1400,75.33,,19.0,0.03,,5.55,,,,,0.09,
1401,75.34,3.91,20.71,,,,,,0.02,,0.02,
1402,92.96,5.8,1.22,0.03,,,,,,,,
