Year,Employed,Housekeeper,Student,,Income_without_Work,Unemployed,Other
1369,24.32,1.58,21.16,18.54,27.61,2.07,4.72
1370,23.39,20.86,29.06,17.72,1.9,2.36,4.71
1371,25.03,20.32,28.34,17.69,1.71,2.23,4.68
1372,25.9,19.66,30.09,15.39,2.3,2.24,4.42
1373,25.05,20.32,31.74,13.71,2.52,2.27,4.38
1374,25.97,19.49,22.4,25.22,2.59,2.43,1.89
1375,27.03,19.97,21.65,24.03,2.66,2.66,2.0
1376,27.4,20.46,21.65,22.84,2.97,2.77,1.91
1377,27.59,21.07,22.0,21.31,3.05,2.98,1.99
1378,27.55,21.31,22.47,19.91,3.49,3.37,1.91
1379,27.92,21.9,22.34,18.76,3.35,3.69,2.05
1380,27.93,22.54,22.0,17.3,3.73,4.02,2.48
1381,28.22,22.81,21.82,16.04,4.23,4.25,2.62
1382,29.73,22.47,20.87,16.55,3.7,4.21,2.46
1383,30.39,22.28,20.28,15.77,4.09,4.41,2.8
1384,30.59,22.51,19.78,15.22,4.49,4.61,2.8
1385,30.72,22.63,18.87,14.8,5.34,4.85,2.8
1386,30.6,23.13,18.43,15.04,5.82,4.47,2.51
1387,29.47,23.23,18.16,14.96,6.37,5.27,2.54
1388,29.02,23.28,17.34,14.96,7.53,5.61,2.26
1389,28.79,23.97,17.47,14.6,7.57,5.43,2.17
1390,27.86,24.8,17.38,14.18,7.59,6.03,2.17
1391,28.55,24.67,16.81,13.7,8.1,6.07,2.11
1392,28.64,25.1,15.64,16.32,7.46,5.08,1.77
1393,28.35,25.06,15.45,15.91,8.19,5.13,1.91
1394,27.91,25.55,15.19,15.63,8.45,5.38,1.88
1395,27.82,25.6,14.92,15.26,8.83,5.66,1.92
1396,28.08,25.41,14.83,15.18,9.04,5.44,2.02
1397,28.32,25.36,14.25,16.61,8.82,4.91,1.75
1398,28.05,25.4,14.31,15.96,9.62,4.82,1.84
1399,27.07,25.47,14.91,15.49,10.2,4.96,1.9
1400,27.32,25.54,15.46,14.77,10.42,4.58,1.9
1401,27.34,25.55,15.67,14.14,11.01,4.52,1.78
1402,27.54,25.62,15.63,13.53,11.59,4.26,1.83
