Year,Married,Bachelor,,Widowed,Divorced
1363,58.84,0.43,,37.18,3.55
1364,37.54,58.87,,3.17,0.42
1365,37.71,58.55,,3.38,0.36
1369,35.66,29.43,31.35,3.3,0.26
1370,35.71,30.2,30.55,3.29,0.25
1371,36.86,29.62,30.36,2.92,0.24
1372,37.33,31.22,28.08,3.1,0.27
1373,37.58,33.36,25.92,2.86,0.29
1374,36.92,34.6,25.23,2.97,0.28
1375,38.2,34.63,24.03,2.87,0.27
1376,38.93,35.08,22.84,2.88,0.27
1377,39.17,36.38,21.31,2.85,0.29
1378,39.03,37.71,19.91,3.1,0.26
1379,39.74,38.16,18.76,3.05,0.3
1380,40.3,39.01,17.3,3.11,0.28
1381,40.95,39.39,16.04,3.32,0.3
1382,42.23,37.93,16.55,2.97,0.32
1383,42.77,38.07,15.76,3.05,0.35
1384,43.74,37.51,15.22,3.17,0.36
1385,44.55,36.94,14.8,3.31,0.4
1386,45.43,35.69,15.04,3.43,0.41
1387,46.04,34.92,14.96,3.62,0.46
1388,46.63,34.05,14.95,3.83,0.53
1389,47.42,33.5,14.6,3.89,0.6
1390,47.96,33.14,14.18,4.06,0.67
1391,48.63,32.62,13.7,4.28,0.77
1392,50.39,28.72,16.32,3.88,0.69
1393,50.31,28.8,15.91,4.19,0.78
1394,50.2,28.92,15.62,4.4,0.85
1395,50.49,28.71,15.26,4.61,0.93
1396,50.78,28.44,15.18,4.6,1.0
1397,51.6,26.41,16.6,4.34,1.05
1398,51.31,26.98,15.96,4.6,1.14
1399,50.95,27.68,15.49,4.68,1.2
1400,50.93,28.26,14.77,4.85,1.19
1401,50.99,28.44,14.14,5.23,1.21
1402,50.93,28.7,13.53,5.49,1.35
