Year,True,False,Missing
1369,66.48,33.52,0.0
1370,66.69,33.31,0.0
1371,65.04,34.96,0.0
1372,62.61,37.39,0.0
1373,57.79,42.21,0.0
1374,61.5,38.5,0.0
1375,65.79,34.21,0.0
1376,64.68,35.32,0.0
1377,64.26,35.74,0.0
1378,64.57,35.43,0.0
1379,64.86,35.14,0.0
1380,63.9,36.1,0.0
1381,63.68,36.32,0.0
1382,64.44,35.56,0.0
1383,64.02,35.98,0.0
1384,6.01,93.99,0.0
1385,63.79,36.21,0.0
1386,61.91,38.09,0.0
1387,61.78,38.22,0.0
1388,62.59,37.41,0.0
1389,62.1,37.9,0.0
1390,60.11,39.89,0.0
1391,62.07,37.93,0.0
1392,60.1,39.9,0.0
1393,61.04,38.96,0.0
1394,58.87,41.13,0.0
1395,58.87,41.13,0.0
1396,59.22,40.78,0.0
1397,56.3,43.7,0.0
1398,58.22,41.78,0.0
1399,58.95,41.05,0.0
1400,56.75,43.25,0.0
1401,54.07,45.93,0.0
