Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,24550.0,420627.13,1707299.95,-99999999.0,136000.0,76350000.0
1370,23960.0,635664.27,4011374.76,-62381000.0,178950.0,384950000.0
1371,24136.0,850977.51,6030289.98,-71500000.0,220000.0,600000001.0
1372,15377.0,1047800.22,6665998.49,-99999999.0,330000.0,618750001.0
1373,21557.0,1655389.07,5955022.52,-100000000.0,488000.0,446950000.0
1374,44077.0,1867842.78,5869698.07,-51695000.0,513000.0,559432000.0
1375,27840.0,2363241.91,12980289.25,-540000000.0,650000.0,1884000000.0
1376,26580.0,2910470.14,8994432.51,-33600000.0,820000.0,695300000.0
1377,22012.0,3399305.32,8571736.11,-96724800.0,1000000.0,360000000.0
1378,34611.0,3828551.76,18279989.58,-2692000000.0,1000000.0,905000000.0
1379,32478.0,4699749.89,13709272.14,-348900000.0,1256250.0,720000000.0
1380,30263.0,5595342.52,13426773.11,-62899800.0,1776000.0,619200000.0
1381,35032.0,7512519.33,29531531.25,-72000000.0,2650000.0,4439400000.0
1382,25550.0,9528846.56,20828102.91,-985300000.0,3800000.0,650000000.0
1383,27634.0,11229674.3,30953291.41,-2300000000.0,3950000.0,1311000000.0
1384,29115.0,12842120.95,34066369.23,-284000000.0,4800000.0,2954000000.0
1385,32590.0,14934571.42,40618371.33,-150012500.0,5700000.0,2882000000.0
1386,29504.0,18413287.37,41346100.52,-265000000.0,7062500.0,2400000000.0
1387,31451.0,19799345.15,47854423.32,-777700000.0,7800000.0,2836500000.0
1388,29617.0,20078840.2,50477056.23,-1500000000.0,8000000.0,3967000000.0
1389,28652.0,23297180.52,45874242.01,-1333000000.0,11000000.0,2059200000.0
1390,25997.0,28939815.88,54826338.59,-800000000.0,15130000.0,2559700000.0
1391,26787.0,36096516.17,108021902.72,-699000000.0,18000000.0,8125000000.0
1392,24492.0,50289691.75,85635006.28,-518000000.0,29800000.0,3350000000.0
1393,23494.0,62033052.77,106355051.67,-814820000.0,38000000.0,4941400000.0
1394,22402.0,73901464.04,121768622.88,-415000000.0,48000000.0,5735280000.0
1395,21822.0,83516385.7,136407999.84,-4000000000.0,54000000.0,4800000000.0
1396,22290.0,92838186.64,125625411.85,-939600000.0,60000000.0,4570000000.0
1397,21983.0,120016874.99,191631156.25,-790000000.0,80000000.0,9500000000.0
1398,21650.0,149738855.89,209159934.87,-1260000000.0,100950000.0,7610000000.0
1399,19322.0,207605785.07,386677774.22,-1500000000.0,134000000.0,24000000000.0
1400,18570.0,342351809.66,641452137.83,-2270000000.0,222000000.0,39591900000.0
1401,16908.0,556670000.91,953718119.23,-26710000000.0,393500000.0,41050300000.0
1402,17119.0,854343191.27,1390813312.04,-14534000000.0,600000000.0,48000000000.0
