Year,Purchase,Instead_of_Private_Service,Non_Agricultural_Work,Donation,Instead_of_Public_Service,Agricultural_Work,Home_Production,Purchase_Free_Price,Purchase_Subsidised_Price,,Instead_of_Cooperative_Service
1363,,0.06,0.25,0.02,0.43,0.01,0.1,55.28,43.86,,
1364,,0.02,0.29,0.03,0.42,0.01,0.15,58.4,40.68,,
1365,,0.04,0.41,0.02,0.4,,0.05,52.97,46.12,,
1366,,,0.39,0.05,0.23,0.02,0.07,59.88,39.37,,
1367,,0.03,0.23,0.04,0.15,0.01,0.04,60.42,39.09,,
1368,,0.02,0.31,0.02,0.13,0.01,0.04,59.91,39.57,,
1369,99.39,0.02,0.31,0.01,0.07,0.02,0.04,,,0.13,
1370,99.42,0.04,0.33,0.03,0.09,0.02,0.03,,,0.04,
1371,99.42,0.04,0.34,0.03,0.06,0.01,0.05,,,0.03,
1372,99.42,0.05,0.36,0.03,0.09,0.01,0.03,,,0.01,
1373,99.22,0.03,0.49,0.02,0.15,0.01,0.05,,,0.03,
1374,99.02,0.08,0.5,0.02,0.31,0.01,0.05,,,0.0,
1375,98.44,0.17,0.65,0.02,0.67,0.01,0.03,,,,
1376,98.02,0.27,0.77,0.04,0.86,0.02,0.01,,,,
1377,98.15,0.21,0.8,0.03,0.76,0.03,0.01,,,,
1378,98.46,0.2,0.67,0.03,0.6,0.03,0.02,,,,
1379,98.59,0.23,0.61,0.01,0.49,0.02,0.04,,,,
1380,98.46,0.31,0.64,0.03,0.52,0.01,0.02,,,,0.01
1381,98.94,0.18,0.51,0.04,0.29,0.01,0.03,,,,0.01
1382,98.77,0.25,0.64,0.01,0.28,0.01,0.04,,,,
1383,98.89,0.25,0.54,0.09,0.13,0.05,0.04,,,0.0,0.0
1384,98.85,0.23,0.61,0.05,0.21,0.01,0.04,,,,0.0
1385,99.16,0.17,0.46,0.05,0.15,0.01,0.0,,,,0.0
1386,99.12,0.21,0.47,0.04,0.14,0.01,0.0,,,,
1387,99.26,0.22,0.37,0.04,0.11,0.0,,,,,0.0
1388,99.34,0.22,0.29,0.06,0.09,0.0,,,,,0.0
1389,99.46,0.17,0.26,0.04,0.07,0.0,,,,,
1390,99.53,0.13,0.27,0.03,0.04,,0.01,,,,0.0
1391,99.55,0.15,0.22,0.03,0.05,0.0,0.01,,,,
1392,99.51,0.15,0.29,0.03,0.02,,0.01,,,,
1393,99.55,0.13,0.27,0.02,0.03,0.0,0.0,,,,
1394,99.58,0.14,0.24,0.02,0.02,0.0,,,,,
1395,99.64,0.12,0.19,0.02,0.03,0.0,,,,,0.0
1396,99.72,0.12,0.12,0.01,0.01,0.0,0.0,,,,
1397,99.7,0.15,0.12,0.01,0.02,0.01,,,,,
1398,99.63,0.13,0.16,0.01,0.02,0.02,0.01,,,,
1399,99.53,0.17,0.23,0.01,0.01,0.02,0.02,,,,
1400,99.52,0.2,0.22,0.02,0.01,0.02,0.0,,,,
1401,99.66,0.18,0.11,0.02,0.01,0.01,0.0,,,,
